名称,読み,住所,電話,緯度,経度,標高
竺和山 霊山寺,じくわさん りょうぜんじ,鳴門市大麻町板東霊山寺126,088-689-1111,34.15942616,134.5029754,23.67964363
日照山 極楽寺,にっしょうざん ごくらくじ,鳴門市大麻町槍字段の上12,088-689-1112,34.15564799,134.4903534,24.59858131
亀光山 金泉寺,きこうざん こんせんじ,板野町大寺亀山下66,088-672-1087,34.14742481,134.4685419,17.47794533
黒巖山 大日寺,こくがんざん だいにちじ,板野町黒谷字居内5,088-672-1225,34.1513115,134.4308957,84.44363403
無尽山 地蔵寺,むじんざん じぞうじ,板野町羅漢字林東5,088-672-4111,34.13720357,134.4319322,21.19636726
温泉山 安楽寺,おんせんざん あんらくじ,上板町引野寺の西北八,088-689-1111,34.11805787,134.3883813,22.4461441
光明山 十楽寺,こうみょうざん じゅうらくじ,土成町高尾法教田58,088-695-2150,34.12072528,134.3779414,47.37195206
普明山 熊谷寺,ふみょうざん くまたにじ,土成町土成前田185,088-695-2065,34.12081576,134.3400297,95.2815094
正覚山 法輪寺,しょうかくざん ほうりんじ,土成町土成字田中198-2,088-695-2080,34.10438869,134.3337681,31.32249832
得度山 切幡寺,とくどさん きりはたじ,市場町切幡観音129,0883-36-3010,34.10775053,134.3042699,168.72612
金剛山 藤井寺,こんごうさん ふじいでら,鴨島町飯尾1525,0883-24-2384,34.05166384,134.3485035,53.10037994
麻盧山 焼山寺,まろさん しょうざんじ,神山町下分地中,88-677-0112,33.98503149,134.3102478,704.5066528
大栗山 大日寺,おおくりさん だいにちじ,徳島市一宮町西丁263,088-644-0069,34.03814617,134.462657,28.02876091
盛寿山 常楽寺,せいじゅざん じょうらくじ,徳島市国府町延命606,088-642-0471,34.05035389,134.4756537,35.44130707
薬王山 国分寺,やくおうざん こくぶんじ,徳島市国府町矢野7181,088-642-0525,34.05562557,134.4736186,13.88541698
光耀山 観音寺,こうようざん かんおんじ,徳島市国府町観音寺492,088-642-2375,34.06849941,134.4743467,10
瑠璃山 井戸寺,るりざん いどじ,徳島市国府町井戸北屋敷801,088-642-1324,34.08515836,134.4854947,8.500950813
母養山 恩山寺,ぼようざん おんざんじ,小松島市田野町恩山寺谷40,08853-3-1218,33.98595447,134.578265,73.14325714
橋池山 立江寺,きょうちざん たつえじ,小松島市立江町若松13,08853-7-1019,33.9678785,134.6057206,2.390941381
霊鷲山 鶴林寺,りょうじゅぜん かくりんじ,勝浦町生名,08854-2-3020,33.91381672,134.5056044,482.6928101
舎心山 太龍寺,しゃしんざん たいりゅうじ,阿南市加茂町龍山2番地,08846-2-2021,33.88253925,134.5218728,484.9104919
白水山 平等寺,はくすいざん びょうどうじ,阿南市新野町秋山,0884-36-3522,33.85183557,134.5827784,42.70189285
医王山 薬王寺,いおうざん やくおうじ,日和佐町奥河内寺前,0884-77-0023,33.73232515,134.5275899,37.52134323
室戸山 最御崎寺（土佐東寺）,むろとざん ほつみさきじ,室戸市室戸岬40581,0887-23-0024,33.24901042,134.1757438,141.5200653
宝珠山 津照寺（津寺）,ほうしゅざん しんしょうじ,室戸市室津2644,0887-23-0025,33.28822536,134.1484201,15.59347153
龍頭山 金剛頂寺（土佐西寺）,りゅうずざん こんごうちょうじ,室戸市元乙523,0887-23-0026,33.30723921,134.1228312,168.5712891
竹林山 神峰寺,ちくりんざん こうのみねじ,安田町唐浜2594,0887-38-5495,33.46762745,133.9747712,447.4067688
法界山 大日寺,ほうかいざん だいにちじ,野市町母代寺476,0887-56-0638,33.57757452,133.705407,80.50392151
摩尼山 国分寺,まにざん こくぶんじ,南国市国分546,088-862-0055,33.59878824,133.6404197,19.72070313
百々山 善楽寺,どどさん ぜんらくじ,高知県高知市一宮本村,088-846-4141,33.59190581,133.5775018,19.29691696
五台山 竹林寺,こだいさん ちくりんじ,高知市五台山3577,088-882-3085,33.5465956,133.5773429,118.8035965
八葉山 禅師峰寺,はちようざん ぜんじぶじ,南国市十市3084,088-865-8430,33.5267263,133.6114009,69.06498718
高福山 雪蹊寺,こうふくざん せっけいじ,高知市長浜8573,088-837-2233,33.50083666,133.5431118,10.74320507
本尾山 種間寺,もとおざん たねまじ,春野町秋山72,088-894-2234,33.49172525,133.4875902,8.265699387
医王山 清滝寺,いおうざん きよたきじ,土佐市高岡町丁5681,088-852-0316,33.51252844,133.4094909,144.8199005
独鈷山 青龍寺,とっこうざん しょうりゅうじ,土佐市宇佐町竜163,088-856-3010,33.42603649,133.4507929,69.78523254
藤井山 岩本寺,ふじいさん いわもとじ,高知県高岡郡窪川町茂串町3,0880-22-0376,33.20800387,133.13459,224.4483032
蹉?山 金剛福寺,さださん こんごうふくじ,土佐清水市足摺岬,0880-88-0038,32.72493014,133.0170958,71.36808014
赤亀山 延光寺,しゃっきざん えんこうじ,宿毛市平田町中山,0880-66-0225,32.96131043,132.7740535,52.30740356
平城山 観自在寺,へいじょうざん かんじざいじ,御荘町平城22531,0895-72-0416,32.96467482,132.5640674,16.42106247
稲荷山 竜光寺,いなりざん りゅうこうじ,三間町戸雁173,0895-58-2186,33.29520478,132.5985003,192.2084656
一{王果}山 佛木寺,いっかざん ぶつもくじ,三間町則273,0895-58-2216,33.31060102,132.5814676,197.2849884
源光山 明石寺,げんこうざん めいせきじ,宇和町明石201,0894-62-0032,33.36921935,132.518954,296.4389648
菅生山 大宝寺,すごうざん だいほうじ,久万高原町菅生1173,088-689-1111,33.66091627,132.9121035,583.0575562
海岸山 岩屋寺,かいがんざん いわやじ,久万高原町七鳥1468,0892-57-0417,33.65867259,132.9807171,612.3299561
医王山 浄瑠璃寺,いおうざん じょうるりじ,松山市浄瑠璃町282,089-963-0279,33.75358939,132.8191381,91.94911194
熊野山 八坂寺,くまのざん やさかじ,松山市浄瑠璃773,089-963-0271,33.75799703,132.8128228,93.9179306
清瀧山 西林寺,せいりゅうざん さいりんじ,松山市高井町1007,089-975-0319,33.79373205,132.8139661,46.57258224
西林山 浄土寺,さいりんざん じょうどじ,松山市鷹子町1198,089-975-1730,33.81669363,132.8084052,58.57470322
東山 繁多寺,ひがしやま はんたじ,松山市畑寺町32,089-975-0910,33.82811695,132.8045274,76.94701385
熊野山 石手寺,くまのざん いしてじ,松山市石手2921,089-977-0870,33.84792953,132.7964559,65.51098633
瀧雲山 太山寺,りゅううんざん たいざんじ,松山市大山寺町1730,089-978-0329,33.88505095,132.7149926,76.54301453
須賀山 円明寺,すがざん えんみょうじ,松山市和気町1182,089-978-1129,33.89147907,132.7400673,7.954815865
近見山 延命寺,ちかみざん えんめいじ,今治市阿方甲636,0898-22-5696,34.06684577,132.9639761,28.47506523
別宮山 南光坊,べっくさん なんこうぼう,今治市別宮町31,0898-22-2916,34.06821724,132.9952827,5.558535099
金輪山 泰山寺,きんりんさん たいさんじ,今治市小泉1918,0898?22-5959,34.05010377,132.9745762,20.89533615
府頭山 栄福寺,ふとうざん えいふくじ,玉川町八幡甲200,0898-55-2432,34.02971636,132.9783661,51.64331055
作礼山 仙遊寺,されいざん せんゆうじ,玉川町別所483,0898-55-2141,34.01320268,132.9773448,252.0884247
金光山 国分寺,きんこうざん こくぶんじ,今治市国分4133,0898-48-0533,34.02619414,133.0254489,13.12229729
石鎚山 横峰寺,いしづちさん よこみねじ,西条市小松町石鎚2253,0897-59-0142,33.83785561,133.111118,767.0769653
栴檀山 香園寺,せんだんさん こうおんじ,西条市小松町南川甲19,0898-72-3861,33.8972143,133.1149,18.36642075
天養山 宝寿寺,てんようざん ほうじゅじ,西条市小松町新屋敷甲428,0898-72-2210,33.89721431,133.1149,18.36642075
密教山 吉祥寺,みっきょうざん きちじょうじ,西条市氷見乙1048,0897-57-8863,33.89610476,133.1292101,17.98831558
石鉄山 前神寺,いしづちさん まえがみじ,西条市洲之内甲1426,0897-56-6995,33.89160375,133.1601616,28.31972313
由霊山 三角寺,ゆれいざん さんかくじ,四国中央市金田町三角寺甲75,0896-56-3065,33.96765717,133.5865007,354.230072
巨鼇山 雲辺寺,きょごうざん うんぺんじ,徳島県池田町白地,0883-74-0066,34.03522112,133.7237352,899.9199829
小松尾山 大興寺（小松尾寺）,こまつおざん だいこうじ,山本町辻小松尾,0875-63-2341,34.10241261,133.7190802,75.41491699
琴弾山 神恵院（琴弾八幡）,ことひきざん じんねいん,観音寺市八幡町,0875-25-3871,34.1339872,133.6473512,39.17189026
七宝山 観音寺,しっぽうざん かんのんじ,観音寺市八幡町,0875-25-3871,34.13451005,133.6475707,29.31447411
七宝山 本山寺,しっぽうざん もとやまじ,富中町本山,0875-62-2007,34.13969221,133.694107,13.91573143
剣五山 弥谷寺,けんござん いやだにじ,三野町大見乙,0875-72-3446,34.22972244,133.7242616,202.7150726
我拝師山 曼荼羅寺,がはいしざん まんだらじ,善通寺市吉原町13801,0877-63-0072,34.22331161,133.750224,48.12477875
我拝師山 出釈迦寺,がはいしざん しゅっしゃかじ,善通寺市吉原町1091,0877-63-0073,34.21945795,133.750186,92.89615631
医王山 甲山寺,いおうざん こうやまじ,善通寺市弘田町17651,0877-63-0074,34.23322289,133.765746,25.94105721
五岳山 善通寺,ごがくざん ぜんつうじ,善通寺市善通寺町331,0877-62-0111,34.22502427,133.773981,30.90325737
鶏足山 金倉寺,けいそくざん こんぞうじ,善通寺市金蔵寺町1160,0877-62-0845,34.25006666,133.7809641,20.90050888
桑多山 道隆寺,そうたさん どうりゅうじ,多度津町北鴨1330,0877-32-3577,34.27674781,133.7626849,5.823419094
仏光山 郷照寺,ぶっこうざん ごうしょうじ,宇多津町西町,0877-49-0710,34.30668025,133.8245487,21.80398178
金華山 天皇寺（高照院）,きんかざん てんのうじ,坂出市西庄町八十場17132,0877-46-3508,34.31141816,133.8827111,24.30113029
白牛山 国分寺,はくぎゅうざん こくぶんじ,国分寺町国分,087-874-0033,34.30315737,133.9441243,37.70357895
陵松山 白峯寺,りょうしょうざん しろみねじ,坂出市青海町,0877-47-0305,34.33347964,133.9267911,284.9924927
青峰山 根香寺,あおみねざん ねごろじ,高松市中山町,087-881-3329,34.34444649,133.9606285,367.4160461
神毫山 一宮寺,しんごうざん いちのみやじ,高松市一宮町607,087-885-2301,34.28660979,134.0266173,41.50504684
南面山 屋島寺,なんめんざん やしまじ,高松市屋島東町屋島山上,087-841-9418,34.35793062,134.1012514,291.8249207
五剣山 八栗寺,ごけんざん やくりじ,牟礼町牟礼3416,087-845-9603,34.3598302,134.139441,230.1678772
補陀落山 志度寺,ふだらくさん しどじ,志度町志度1102,087-894-0086,34.32434054,134.1796021,3.646880627
補陀落山 長尾寺,ふだらくさん ながおじ,長尾町西,0879-52-2041,34.26670423,134.1717285,39.87408447
医王山 大窪寺,いおうざん おおくぼじ,さぬき市多和兼割,0879-56-2278,34.19140877,134.2067373,479.1662598
